ID,MWS,Group,Database,Layer,Name,Provider,Level,Geocode,Type,Discription,Download,geojson,Year
,UMW,Climate,Station ,Rainfall,,MD,Raw,Yes,Vector,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/01_ADM/DSD/EXD_01_ADM_%20DSD_PATHAHEWAHETA.geojson,
,UMW,Climate,Station ,Temporature,,MD,Raw,Yes,Vector,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/01_ADM/DSD/EXD_01_ADM_%20DSD_PATHAHEWAHETA.geojson,
,UMW,Climate,Station ,Evoporation,,MD,Raw,Yes,Vector,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/01_ADM/DSD/EXD_01_ADM_%20DSD_PATHAHEWAHETA.geojson,
,UMW,Climate,Station ,Water Quality,,WB,Raw,Yes,Vector,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/01_ADM/DSD/EXD_01_ADM_%20DSD_PATHAHEWAHETA.geojson,
,UMW,Climate,Raster,Annual Rainfall,,IWMI,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/RF_sum.png,
,UMW,Climate,Rainfall,Monthly Rainfall - 01,,IWMI,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/RF_1.png,
,UMW,Climate,Rainfall,Monthly Rainfall - 02,,IWMI,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/RF_2.png,
,UMW,Climate,Rainfall,Monthly Rainfall - 03,,IWMI,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/RF_3.png,
,UMW,Climate,Rainfall,Monthly Rainfall - 04,,IWMI,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/RF_4.png,
,UMW,Climate,Rainfall,Monthly Rainfall - 05,,IWMI,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/RF_5.png,
,UMW,Climate,Rainfall,Monthly Rainfall - 06,,IWMI,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/RF_6.png,
,UMW,Climate,Rainfall,Monthly Rainfall - 07,,IWMI,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/RF_7.png,
,UMW,Climate,Rainfall,Monthly Rainfall - 08,,IWMI,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/RF_8.png,
,UMW,Climate,Rainfall,Monthly Rainfall - 09,,IWMI,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/RF_9.png,
,UMW,Climate,Rainfall,Monthly Rainfall - 10,,IWMI,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/RF_10.png,
,UMW,Climate,Rainfall,Monthly Rainfall - 11,,IWMI,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/RF_11.png,
,UMW,Climate,Rainfall,Monthly Rainfall - 12,,IWMI,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/RF_12.png,
,UMW,Climate,Temporature - Max,Monthly  Temporature - Max- 01,,IWMI,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/TMAX_1.png,
,UMW,Climate,Temporature - Max,Monthly  Temporature - Max- 02,,IWMI,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/TMAX_2.png,
,UMW,Climate,Temporature - Max,Monthly  Temporature - Max- 03,,IWMI,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/TMAX_3.png,
,UMW,Climate,Temporature - Max,Monthly  Temporature - Max- 04,,IWMI,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/TMAX_4.png,
,UMW,Climate,Temporature - Max,Monthly  Temporature - Max- 05,,IWMI,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/TMAX_5.png,
,UMW,Climate,Temporature - Max,Monthly  Temporature - Max- 06,,IWMI,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/TMAX_6.png,
,UMW,Climate,Temporature - Max,Monthly  Temporature - Max- 07,,IWMI,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/TMAX_7.png,
,UMW,Climate,Temporature - Max,Monthly  Temporature - Max- 08,,IWMI,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/TMAX_8.png,
,UMW,Climate,Temporature - Max,Monthly  Temporature - Max- 09,,IWMI,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/TMAX_9.png,
,UMW,Climate,Temporature - Max,Monthly  Temporature - Max- 10,,IWMI,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/TMAX_10.png,
,UMW,Climate,Temporature - Max,Monthly  Temporature - Max- 11,,IWMI,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/TMAX_11.png,
,UMW,Climate,Temporature - Max,Monthly  Temporature - Max- 12,,IWMI,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/TMAX_12.png,
,UMW,Climate,Temporature - Min,Monthly  Temporature - Min- 01,,IWMI,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/TMIN_1.png,
,UMW,Climate,Temporature - Min,Monthly  Temporature - Min- 02,,IWMI,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/TMIN_2.png,
,UMW,Climate,Temporature - Min,Monthly  Temporature - Min- 03,,IWMI,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/TMIN_3.png,
,UMW,Climate,Temporature - Min,Monthly  Temporature - Min- 04,,IWMI,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/TMIN_4.png,
,UMW,Climate,Temporature - Min,Monthly  Temporature - Min- 05,,IWMI,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/TMIN_5.png,
,UMW,Climate,Temporature - Min,Monthly  Temporature - Min- 06,,IWMI,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/TMIN_6.png,
,UMW,Climate,Temporature - Min,Monthly  Temporature - Min- 07,,IWMI,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/TMIN_7.png,
,UMW,Climate,Temporature - Min,Monthly  Temporature - Min- 08,,IWMI,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/TMIN_8.png,
,UMW,Climate,Temporature - Min,Monthly  Temporature - Min- 09,,IWMI,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/TMIN_9.png,
,UMW,Climate,Temporature - Min,Monthly  Temporature - Min- 10,,IWMI,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/TMIN_10.png,
,UMW,Climate,Temporature - Min,Monthly  Temporature - Min- 11,,IWMI,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/TMIN_11.png,
,UMW,Climate,Temporature - Min,Monthly  Temporature - Min- 12,,IWMI,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/TMIN_12.png,
,UMW,Climate,Evoporation,Monthly evoporation - 01,,IWMI,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/EP_1.png,
,UMW,Climate,Evoporation,Monthly evoporation - 02,,IWMI,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/EP_2.png,
,UMW,Climate,Evoporation,Monthly evoporation - 03,,IWMI,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/EP_3.png,
,UMW,Climate,Evoporation,Monthly evoporation - 04,,IWMI,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/EP_4.png,
,UMW,Climate,Evoporation,Monthly evoporation - 05,,IWMI,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/EP_5.png,
,UMW,Climate,Evoporation,Monthly evoporation - 06,,IWMI,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/EP_6.png,
,UMW,Climate,Evoporation,Monthly evoporation - 07,,IWMI,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/EP_7.png,
,UMW,Climate,Evoporation,Monthly evoporation - 08,,IWMI,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/EP_8.png,
,UMW,Climate,Evoporation,Monthly evoporation - 09,,IWMI,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/EP_9.png,
,UMW,Climate,Evoporation,Monthly evoporation - 10,,IWMI,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/EP_10.png,
,UMW,Climate,Evoporation,Monthly evoporation - 11,,IWMI,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/EP_11.png,
,UMW,Climate,Evoporation,Monthly evoporation - 12,,IWMI,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/EP_12.png,
,UMW,Climate,NDVI,Monthly NDVI -01,,IWMI,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/NDVI_1.png,
,UMW,Climate,NDVI,Monthly NDVI -02,,IWMI,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/NDVI_2.png,
,UMW,Climate,NDVI,Monthly NDVI -03,,IWMI,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/NDVI_3.png,
,UMW,Climate,NDVI,Monthly NDVI -04,,IWMI,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/NDVI_4.png,
,UMW,Climate,NDVI,Monthly NDVI -05,,IWMI,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/NDVI_5.png,
,UMW,Climate,NDVI,Monthly NDVI -06,,IWMI,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/NDVI_6.png,
,UMW,Climate,NDVI,Monthly NDVI -07,,IWMI,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/NDVI_7.png,
,UMW,Climate,NDVI,Monthly NDVI -08,,IWMI,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/NDVI_8.png,
,UMW,Climate,NDVI,Monthly NDVI -09,,IWMI,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/NDVI_9.png,
,UMW,Climate,NDVI,Monthly NDVI -10,,IWMI,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/NDVI_10.png,
,UMW,Climate,NDVI,Monthly NDVI -11,,IWMI,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/NDVI_11.png,
,UMW,Climate,NDVI,Monthly NDVI -12,,IWMI,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/NDVI_12.png,
