ID,MWS,Group,Database,Layer,Name,Provider,Level,Geocode,Type,Discription,Download,geojson,Year,Title,Abstract,Data Type,Keywords,Geographic Extent,Scale,Temporal Coverage,Publication Date,Version,Data Provider,Contact Name,Email Address,Phone Number,Address,Data Source,Accuracy,Limitations,Resolution,Coordinate System,Datum,Vertical Datum,Access Constraints,Use Constraints,Data Format,File Size,Download Link,Process Steps,Metadata Creator,Metadata Date,Metadata Standard,Related Publications,Supplementary Info
115,MWS-003,Proposal,Water Resource Management,Cost estimate of domestic water supply and water source protection-related proposals,,IWMI-IWWRMP,Field,No,Text,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_003/Table_6_12.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,MWS-003,Proposal,Water Resource Management,Cost estimate of minor irrigation related proposals with locations,,IWMI-IWWRMP,Field,No,Text,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_003/Table_6_13.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,MWS-003,Proposal,Water Quality Improvement,Key activities proposed for water quality improvement in MWS-003,,IWMI-IWWRMP,Field,No,Text,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_003/Table_6_14.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,MWS-003,Proposal,Stream Reservation,Stream bank protection proposals,,IWMI-IWWRMP,Field,No,Text,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_003/Table_6_15.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,MWS-003,Proposal,Stream Reservation,Brief description of legal provisions,,IWMI-IWWRMP,Field,No,Text,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_003/Table_6_16.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,MWS-003,Proposal,Stream Reservation,Specimen estimates for the proposed protection types of stream reservation by replanting selected tree species,,IWMI-IWWRMP,Field,No,Text,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_003/Table_6_17.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,MWS-003,Proposal,Stream Reservation,Total Cost Estimate for Stream Reservation Proposals,,IWMI-IWWRMP,Field,No,Text,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_003/Table_6_18.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,MWS-003,Proposal,Product and Entrepreneurships Developments,Packaging and transport of agricultural produce,,IWMI-IWWRMP,Field,No,Text,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_003/Table_6_19.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,MWS-003,Proposal,Product and Entrepreneurships Developments,Potential for tourism development and promotion in the area,,IWMI-IWWRMP,Field,No,Text,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_003/Table_6_20.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,MWS-003,Proposal,Product and Entrepreneurships Developments,Cost estimates and Time frame,,IWMI-IWWRMP,Field,No,Text,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_003/Table_6_21.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,MWS-003,Proposal,Forest Management,Key stakeholders of Forest lands,,IWMI-IWWRMP,Field,No,Text,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_003/Table_6_22.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,MWS-003,Proposal,Forest Management,Forest lands in MWS-003,,IWMI-IWWRMP,Field,No,Text,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_003/Table_6_23.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,MWS-003,Proposal,Forest Management,HEPA within MWS-003,,IWMI-IWWRMP,Field,No,Text,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_003/Table_6_24.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,MWS-003,Proposal,Forest Management,Vegetation cover vs population in MWS-003,,IWMI-IWWRMP,Field,No,Text,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_003/Table_6_25.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,MWS-003,Proposal,Forest Management,The details of cost to be incurred to establish boundary posts and fire belts,,IWMI-IWWRMP,Field,No,Text,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_003/Table_6_26.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,MWS-003,Proposal,Forest Management,Costing of the proposed activities for 18-acre block of land,,IWMI-IWWRMP,Field,No,Text,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_003/Table_6_27.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,MWS-003,Proposal,Tea Land Management,Key stakeholders of Tea lands,,IWMI-IWWRMP,Field,No,Text,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_003/Table_6_28.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,MWS-003,Proposal,Tea Land Management,Details of Tea Landholdings,,IWMI-IWWRMP,Field,No,Text,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_003/Table_6_29.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,MWS-003,Proposal,Tea Land Management,Details of land extents of Tea smallholdings (Source: TSHDA database),,IWMI-IWWRMP,Field,No,Text,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_003/Table_6_30.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,MWS-003,Proposal,Tea Land Management,Proposed Five-year Plan-MWS-003,,IWMI-IWWRMP,Field,No,Text,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_003/Table_6_31.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,MWS-003,Proposal,Tea Land Management,Estimated cost to be incurred for planting one hectare of tea lands,,IWMI-IWWRMP,Field,No,Text,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_003/Table_6_32.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,MWS-003,Proposal,Tea Land Management,Total estimated cost of production for the five-year period,,IWMI-IWWRMP,Field,No,Text,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_003/Table_6_33.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,MWS-003,Proposal,Livelihood Improvement,Potential value-added production,,IWMI-IWWRMP,Field,No,Text,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_003/Table_6_34.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,MWS-003,Proposal,Livelihood Improvement,Insurance service providers,,IWMI-IWWRMP,Field,No,Text,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_003/Table_6_35.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,MWS-003,Proposal,Livelihood Improvement,Cost estimation of livelihood development activities,,IWMI-IWWRMP,Field,No,Text,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_003/Table_6_36.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,MWS-003,Proposal,Livelihood Improvement,Timeframe for the implementation,,IWMI-IWWRMP,Field,No,Text,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_003/Table_6_37.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,MWS-003,Proposal,Training and Capacity Development,Contents of the agriculture productivity improvement training,,IWMI-IWWRMP,Field,No,Text,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_003/Table_6_38.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,MWS-003,Proposal,Training and Capacity Development,Recommended training programs for Livelihood development and marketing,,IWMI-IWWRMP,Field,No,Text,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_003/Table_6_39.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,MWS-003,Proposal,Training and Capacity Development,Expenditure Estimate for training programs,,IWMI-IWWRMP,Field,No,Text,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_003/Table_6_40.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,MWS-003,Product,Map,Overview map,,IWMI-IWWRMP,Derive,No,Image,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/Map/map_00/00_IndexMap_003.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,MWS-003,Product,Map,Min watershed index map,,IWMI-IWWRMP,Derive,No,Image,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/Map/map_01/01_IndexMap_003.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,MWS-003,Product,Map,Boundary demarcated Google map.,,IWMI-IWWRMP,Derive,No,Image,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/Map/map_02/02_GoogleMap_003.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,MWS-003,Product,Map,Administrative Boundary map,,IWMI-IWWRMP,Derive,No,Image,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/Map/map_03/03_AdminMap_003.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,MWS-003,Product,Map,Stream network map,,IWMI-IWWRMP,Derive,No,Image,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/Map/map_04/04_StreamMap_003.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,MWS-003,Product,Map,Road network map,,IWMI-IWWRMP,Derive,No,Image,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/Map/map_05/05_RoadMap_003.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,MWS-003,Product,Map,Building map,,IWMI-IWWRMP,Derive,No,Image,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/Map/map_06/06_BuildingMap_003.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,MWS-003,Product,Map,Land Use map,,IWMI-IWWRMP,Derive,No,Image,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/Map/map_07/07_LandCoverMap_003.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,MWS-003,Product,Map,Forest map,,IWMI-IWWRMP,Derive,No,Image,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/Map/map_08/08_ForestCoverMap_003.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,MWS-003,Product,Map,Elevation map,,IWMI-IWWRMP,Derive,No,Image,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/Map/map_10/10_SlopeMap_003.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,MWS-003,Product,Map,Slope map,,IWMI-IWWRMP,Derive,No,Image,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/Map/map_11/11_SoilMap_003.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,MWS-003,Product,Map,Soil map,,IWMI-IWWRMP,Derive,No,Image,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/Map/map_12/12_AgroEcoMap_003.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,MWS-003,Product,Map,Argo-ecological zone map,,IWMI-IWWRMP,Derive,No,Image,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/Map/map_13/13_RainFallMap_003.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,MWS-003,Product,Map,Rainfall map,,IWMI-IWWRMP,Derive,No,Image,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/Map/map_14/14_ErosionMap_003.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,MWS-003,Product,Map,Soil erosion hazard map.,,IWMI-IWWRMP,Derive,No,Image,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/Map/map_16/Tmax/15_TmaxMap_003.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,MWS-003,Product,Map,Temperature map,,IWMI-IWWRMP,Derive,No,Image,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/Map/map_16/Tmin/16_TminMap_003.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,MWS-003,Product,Map,Evaporation map,,IWMI-IWWRMP,Derive,No,Image,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/Map/map_17/17_EvpMap_003.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,MWS-003,Product,Map,Population density map,,IWMI-IWWRMP,Derive,No,Image,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/Map/map_18/18_PopDenMap_003.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,MWS-003,Product,Map,Travel map /Archaeology site map,,IWMI-IWWRMP,Derive,No,Image,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/Map/map_19/19_TouristMap_003.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,MWS-003,Product,Map,Landslide hazard map,,IWMI-IWWRMP,Derive,No,Image,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/Map/map_20/20_LandSlideMap_003.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,MWS-003,Product,Report,Watershed managment plan,,IWMI-IWWRMP,Derive,No,Text,,google drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,MWS-003,Product,Annex,Map atlas,,IWMI-IWWRMP,Derive,No,Text,,google drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,MWS-003,Product,Annex,annex2,,IWMI-IWWRMP,Derive,No,Text,,google drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,MWS-003,Product,Annex,annex3,,IWMI-IWWRMP,Derive,No,Text,,google drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,MWS-003,Product,Annex,"GCP committee ",,IWMI-IWWRMP,Field,No,Text,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/Admin/Pathahewaheta_name_lists.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,MWS-003,Product,Statistic,List of GND,,IWMI-IWWRMP,Derive,No,Text,,,.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,MWS-003,Product,Statistic,Land Cover Statistic,,IWMI-IWWRMP,Derive,No,Text,,,.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,MWS-003,Product,Statistic,Forest Cover Statistic,,IWMI-IWWRMP,Derive,No,Text,,,.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,MWS-003,Product,Statistic,Climate statistic,,IWMI-IWWRMP,Derive,No,Text,,,.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,MWS-003,Product,Photo,Photo,,IWMI-IWWRMP,Derive,No,Image,,google drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,UMW,"Administration ","Organization ",List of stakeholders,,,,No,Text,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/Admin/UMW_Stakeholder_List.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
